TEAM,SEED,Region,prob_r32,prob_r16,prob_r8,prob_r4,prob_r2,prob_win
Arizona,1,West,0.98549204,0.85054186,0.65881553,0.38771101,0.24636835,0.18578344
Michigan,1,Midwest,1.00000000,0.86218844,0.68134756,0.40770742,0.25372802,0.17213007
Duke,1,East,1.00000000,0.83916137,0.59717355,0.37663408,0.22244037,0.14573679
Florida,1,South,0.98546504,0.82122003,0.58200048,0.25515019,0.14754794,0.09788292
Houston,2,South,1.00000000,0.79998757,0.51121630,0.28374909,0.13901161,0.07206764
Iowa State,2,Midwest,0.95516054,0.83636159,0.56481135,0.26366752,0.11776223,0.05288835
Illinois,3,South,1.00000000,0.81157931,0.31294305,0.13978749,0.09449859,0.03998875
Purdue,2,West,0.95822369,0.63160533,0.43970404,0.19141247,0.07937789,0.03603382
UConn,2,East,0.94124250,0.62364984,0.44610574,0.19671274,0.07823023,0.03183571
Michigan State,3,East,1.00000000,0.61821310,0.25946271,0.09393439,0.05258828,0.01782107
Arkansas,4,West,1.00000000,0.83667577,0.23394547,0.12049474,0.02940015,0.01568937
Gonzaga,3,West,1.00000000,0.66993177,0.24484021,0.08039180,0.04311491,0.01497296
Vanderbilt,5,South,1.00000000,0.56971898,0.15033230,0.09990841,0.05205091,0.01366282
Kansas,4,East,0.88534380,0.46288283,0.15484204,0.09581482,0.02435830,0.01266053
St. John's,5,East,0.80663483,0.43439313,0.11410979,0.10220898,0.05094974,0.01237388
Virginia,3,Midwest,0.92584917,0.48710446,0.19198442,0.06285868,0.03376198,0.01078644
Nebraska,4,South,1.00000000,0.43028102,0.13930904,0.06162605,0.01577646,0.00853926
Louisville,6,East,1.00000000,0.38178690,0.13270581,0.02329570,0.01476412,0.00773367
Tennessee,6,Midwest,0.83471533,0.39462463,0.13201841,0.02148049,0.01338593,0.00677495
Alabama,4,Midwest,0.84653347,0.49762505,0.11883438,0.05828881,0.01304559,0.00586597
Texas Tech,5,Midwest,1.00000000,0.46786716,0.08820008,0.06295335,0.02777285,0.00586597
UCLA,7,East,0.66682361,0.17705331,0.05916627,0.01660360,0.00519893,0.00497584
Kentucky,7,Midwest,1.00000000,0.14154666,0.04293111,0.01226165,0.00414532,0.00420934
Iowa,9,South,0.54487352,0.09167701,0.09189535,0.04913700,0.03159512,0.00297018
TCU,9,East,1.00000000,0.16083863,0.12056290,0.06906757,0.03377857,0.00233553
Miami (FL),7,West,0.54412729,0.12509887,0.03541289,0.00853935,0.00242686,0.00225521
Texas A&M,10,South,1.00000000,0.20001243,0.09435083,0.01744289,0.02414478,0.00225521
Texas/NC State,11,West,1.00000000,0.33006823,0.16196334,0.13605375,0.02590342,0.00218024
Clemson,8,South,0.45512648,0.08126233,0.03617919,0.01539317,0.00832548,0.00192434
Saint Louis,9,Midwest,1.00000000,0.13781156,0.10741829,0.05467105,0.02638202,0.00176865
Utah State,9,West,0.54099002,0.07334632,0.06252627,0.03492175,0.01919967,0.00159644
Villanova,8,West,0.45900998,0.07079820,0.02873833,0.01369202,0.00678819,0.00148778
Missouri,10,West,0.45587271,0.22625264,0.11326408,0.01599784,0.01825979,0.00145478
VCU,11,South,1.00000000,0.18842069,0.08148982,0.07779484,0.01559618,0.00133622
