Step,Function,Total Time (s),Avg Time/Sim (ms),% of Total
1,generate_all_outcome_strings,0.2207,0.002207,0.4%
  1a,  -> champion_stratified_outcomes,0.0758,0.000758,0.1%
  1b,  -> next_game_stratified_outcomes,0.0102,0.000102,0.0%
  1c,  -> random_outcomes_batch,0.0234,0.000234,0.0%
  1d,  -> combine_outcome_lists,0.0205,0.000205,0.0%
  1e,  -> build_bitstring_mapping,0.0002,0.000002,0.0%
  1f,  -> expand_to_full_bitstrings,0.0896,0.000896,0.2%
2,calculate_all_outcome_probabilities,9.2930,0.092936,15.6%
3,calculate_all_scores_batched,41.8228,0.418253,70.1%
4,determine_winners_and_losers,1.8806,0.018807,3.2%
5,accumulate_results,0.7702,0.007702,1.3%
6,merge_and_generate_final_brackets,5.6571,0.056575,9.5%
  6a,  -> prefilter_unmergeable,0.0052,0.000052,0.0%
  6b,  -> merge_loop,5.2472,0.052475,8.8%
  6c,  -> decode_outcomes,0.2278,0.002278,0.4%
Total,,59.6445,0.596481,100.0%
