TEAM,SEED,Region,prob_r32,prob_r16,prob_r8,prob_r4,prob_r2,prob_win
Michigan Wolverines,,,0.704535,0.496370,0.349710,0.246383,0.173586,0.122297
Arizona Wildcats,,,0.640801,0.410626,0.263129,0.168613,0.108048,0.069237
Duke Blue Devils,,,0.621075,0.385734,0.239570,0.148791,0.092410,0.057394
UConn Huskies,,,0.621075,0.385734,0.239570,0.148791,0.092410,0.057394
Iowa State Cyclones,,,0.612432,0.375073,0.229707,0.140680,0.086157,0.052765
Purdue Boilermakers,,,0.607628,0.369212,0.224343,0.136317,0.082830,0.050330
Gonzaga Bulldogs,,,0.598752,0.358504,0.214655,0.128525,0.076955,0.046077
Houston Cougars,,,0.589442,0.347442,0.204797,0.120716,0.071155,0.041942
Louisville Cardinals,,,0.560066,0.313674,0.175678,0.098391,0.055106,0.030863
Florida Gators,,,0.551714,0.304388,0.167935,0.092652,0.051117,0.028202
Michigan St Spartans,,,0.545615,0.297696,0.162427,0.088623,0.048354,0.026383
Illinois Fighting Illini,,,0.537941,0.289380,0.155669,0.083741,0.045048,0.024233
Vanderbilt Commodores,,,0.530360,0.281281,0.149180,0.079119,0.041962,0.022255
Kansas Jayhawks,,,0.529761,0.280646,0.148675,0.078762,0.041725,0.022104
BYU Cougars,,,0.524019,0.274596,0.143894,0.075403,0.039513,0.020705
Alabama Crimson Tide,,,0.524019,0.274596,0.143894,0.075403,0.039513,0.020705
St. John's Red Storm,,,0.521305,0.271759,0.141669,0.073853,0.038500,0.020070
North Carolina Tar Heels,,,0.517665,0.267977,0.138722,0.071812,0.037174,0.019244
Arkansas Razorbacks,,,0.516158,0.266419,0.137514,0.070979,0.036636,0.018910
Kentucky Wildcats,,,0.492231,0.242291,0.119263,0.058705,0.028896,0.014224
Tennessee Volunteers,,,0.485438,0.235650,0.114393,0.055531,0.026957,0.013086
Texas Tech Red Raiders,,,0.482275,0.232589,0.112172,0.054098,0.026090,0.012582
Nebraska Cornhuskers,,,0.464430,0.215695,0.100175,0.046524,0.021607,0.010035
UCLA Bruins,,,0.442631,0.195922,0.086721,0.038386,0.016991,0.007521
NC State Wolfpack,,,0.438528,0.192307,0.084332,0.036982,0.016218,0.007112
Virginia Cavaliers,,,0.435428,0.189598,0.082556,0.035947,0.015652,0.006816
