TEAM,SEED,Region,prob_r32,prob_r16,prob_r8,prob_r4,prob_r2,prob_win
Michigan,1,Midwest,1,1,0.60075625,0.51962511,0.29258635,0.2045423
Arizona,1,West,1,1,0.7731635,0.45609529,0.25386169,0.19171124
Duke,1,East,1,1,0.57765434,0.37463071,0.25309224,0.1726038
Houston,2,South,1,1,0.57036774,0.25777311,0.17544474,0.11294292
Purdue,2,West,1,1,1,0.40933323,0.14759688,0.06660737
Illinois,3,South,1,1,0.42963226,0.14084771,0.11923122,0.05647146
Iowa State,2,Midwest,1,1,0.42400743,0.22200187,0.0956841,0.04723068
UConn,2,East,1,1,0.61287243,0.20553515,0.08923889,0.03607899
Michigan State,3,East,1,1,0.38712757,0.11680632,0.07823441,0.02886319
St. John's,5,East,1,1,0.42234566,0.30302782,0.1346012,0.02650701
Arkansas,4,West,1,1,0.2268365,0.13457148,0.03304806,0.02029443
Iowa,9,South,1,1,1,0.60137918,0.27081741,0.01593673
Tennessee,6,Midwest,1,1,0.57599257,0.07554519,0.03265091,0.0130537
Alabama,4,Midwest,1,1,0.39924375,0.18282783,0.0239119,0.00715616
Akron,12,Midwest,0,0,0,0,0,0
BYU,6,West,0,0,0,0,0,0
Cal Baptist,13,East,0,0,0,0,0,0
Clemson,8,South,0,0,0,0,0,0
Florida,1,South,1,0,0,0,0,0
Furman,15,East,0,0,0,0,0,0
Georgia,8,Midwest,0,0,0,0,0,0
Gonzaga,3,West,1,0,0,0,0,0
Hawai'i,13,West,0,0,0,0,0,0
High Point,12,West,1,0,0,0,0,0
Hofstra,13,Midwest,0,0,0,0,0,0
Idaho,15,South,0,0,0,0,0,0
Kansas,4,East,1,0,0,0,0,0
Kennesaw State,14,West,0,0,0,0,0,0
Kentucky,7,Midwest,1,0,0,0,0,0
LIU,16,West,0,0,0,0,0,0
Louisville,6,East,1,0,0,0,0,0
McNeese,12,South,0,0,0,0,0,0
Miami (FL),7,West,1,0,0,0,0,0
Miami (OH)/SMU,11,Midwest,0,0,0,0,0,0
Missouri,10,West,0,0,0,0,0,0
Nebraska,4,South,1,1,0,0,0,0
North Carolina,6,South,0,0,0,0,0,0
North Dakota State,14,East,0,0,0,0,0,0
Northern Iowa,12,East,0,0,0,0,0,0
Ohio State,8,East,0,0,0,0,0,0
Penn,14,South,0,0,0,0,0,0
Prairie View A&M/Lehigh,16,South,0,0,0,0,0,0
Queens,15,West,0,0,0,0,0,0
Saint Louis,9,Midwest,1,0,0,0,0,0
Saint Mary's,7,South,0,0,0,0,0,0
Santa Clara,10,Midwest,0,0,0,0,0,0
Siena,16,East,0,0,0,0,0,0
South Florida,11,East,0,0,0,0,0,0
TCU,9,East,1,0,0,0,0,0
Tennessee State,15,Midwest,0,0,0,0,0,0
Texas A&M,10,South,1,0,0,0,0,0
Texas Tech,5,Midwest,1,0,0,0,0,0
Texas/NC State,11,West,1,1,0,0,0,0
Troy,13,South,0,0,0,0,0,0
UCF,10,East,0,0,0,0,0,0
UCLA,7,East,1,0,0,0,0,0
UMBC/Howard,16,Midwest,0,0,0,0,0,0
Utah State,9,West,1,0,0,0,0,0
VCU,11,South,1,0,0,0,0,0
Vanderbilt,5,South,1,0,0,0,0,0
Villanova,8,West,0,0,0,0,0,0
Virginia,3,Midwest,1,0,0,0,0,0
Wisconsin,5,West,0,0,0,0,0,0
Wright State,14,Midwest,0,0,0,0,0,0
