Step,Function,Total Time (s),Avg Time/Sim (ms),% of Total
1,generate_all_outcome_strings,28.8302,0.002892,0.9%
  1a,  -> champion_stratified_outcomes,3.6269,0.000364,0.1%
  1b,  -> next_game_stratified_outcomes,15.5982,0.001565,0.5%
  1c,  -> random_outcomes_batch,2.3274,0.000234,0.1%
  1d,  -> combine_outcome_lists,2.4000,0.000241,0.1%
  1e,  -> build_bitstring_mapping,0.0002,0.000000,0.0%
  1f,  -> expand_to_full_bitstrings,4.8761,0.000489,0.1%
2,calculate_all_outcome_probabilities,866.9425,0.086978,26.1%
3,calculate_all_scores_batched,1523.4240,0.152842,45.8%
4,determine_winners_and_losers,826.0106,0.082872,24.9%
5,accumulate_results,64.7542,0.006497,1.9%
6,merge_and_generate_final_brackets,13.7207,0.001377,0.4%
  6a,  -> prefilter_unmergeable,0.0000,0.000000,0.0%
  6b,  -> merge_loop,0.0000,0.000000,0.0%
  6c,  -> decode_outcomes,0.7252,0.000073,0.0%
Total,,3323.6822,0.333458,100.0%
