Step,Function,Total Time (s),Avg Time/Sim (ms),% of Total
1,generate_all_outcome_strings,12.0812,0.002416,0.7%
  1a,  -> champion_stratified_outcomes,2.4592,0.000492,0.1%
  1b,  -> next_game_stratified_outcomes,0.5535,0.000111,0.0%
  1c,  -> random_outcomes_batch,1.7858,0.000357,0.1%
  1d,  -> combine_outcome_lists,1.6850,0.000337,0.1%
  1e,  -> build_bitstring_mapping,0.0002,0.000000,0.0%
  1f,  -> expand_to_full_bitstrings,5.5962,0.001119,0.3%
2,calculate_all_outcome_probabilities,457.1024,0.091420,27.5%
3,calculate_all_scores_batched,1062.3953,0.212479,63.9%
4,determine_winners_and_losers,98.4384,0.019688,5.9%
5,accumulate_results,24.9897,0.004998,1.5%
6,merge_and_generate_final_brackets,6.4922,0.001298,0.4%
  6a,  -> prefilter_unmergeable,0.0000,0.000000,0.0%
  6b,  -> merge_loop,0.0000,0.000000,0.0%
  6c,  -> decode_outcomes,0.1421,0.000028,0.0%
Total,,1661.4992,0.332300,100.0%
