Step,Function,Total Time (s),Avg Time/Sim (ms),% of Total
1,generate_all_outcome_strings,0.0005,0.003649,0.9%
  1a,  -> champion_stratified_outcomes,0.0000,0.000000,0.0%
  1b,  -> next_game_stratified_outcomes,0.0000,0.000000,0.0%
  1c,  -> random_outcomes_batch,0.0000,0.000000,0.0%
  1d,  -> combine_outcome_lists,0.0000,0.000000,0.0%
  1e,  -> build_bitstring_mapping,0.0001,0.000669,0.2%
  1f,  -> expand_to_full_bitstrings,0.0002,0.001641,0.4%
2,calculate_all_outcome_probabilities,0.0129,0.101058,26.1%
3,calculate_all_scores_batched,0.0106,0.082549,21.3%
4,determine_winners_and_losers,0.0008,0.005914,1.5%
5,accumulate_results,0.0010,0.007730,2.0%
6,merge_and_generate_final_brackets,0.0239,0.186946,48.2%
  6a,  -> prefilter_unmergeable,0.0000,0.000216,0.1%
  6b,  -> merge_loop,0.0047,0.036774,9.5%
  6c,  -> decode_outcomes,0.0135,0.105154,27.1%
Total,,0.0496,0.387846,100.0%
